PCE,GDPC1,CPIAUCNS,GS10,UNRATE,Date
11181.2,17489.852,229.601,1.72,7.9,2012-12-31
11290.1,17662.4,232.773,1.96,7.5,2013-03-31
11344.4,17709.671,233.504,2.3,7.5,2013-06-30
11445.9,17860.45,234.149,2.81,7.2,2013-09-30
11593.2,18016.147,233.049,2.9,6.7,2013-12-31
11722.3,17953.974,236.293,2.72,6.7,2014-03-31
11861.7,18185.911,238.343,2.6,6.1,2014-06-30
11991.4,18406.941,238.031,2.53,5.9,2014-09-30
12096.1,18500.031,234.812,2.21,5.6,2014-12-31
12176.1,18666.621,236.119,2.04,5.4,2015-03-31
12307.9,18782.243,238.638,2.36,5.3,2015-06-30
12386.4,18857.418,237.945,2.17,5.0,2015-09-30
12452.0,18892.206,236.525,2.24,5.0,2015-12-31
12537.0,19001.69,238.132,1.89,5.0,2016-03-31
12731.2,19062.709,241.018,1.64,4.9,2016-06-30
12846.6,19197.938,241.428,1.63,5.0,2016-09-30
13005.9,19304.352,241.432,2.49,4.7,2016-12-31
13139.9,19398.343,243.801,2.48,4.4,2017-03-31
13225.2,19506.949,244.955,2.19,4.3,2017-06-30
13417.3,19660.766,246.819,2.2,4.3,2017-09-30
13666.1,19882.352,246.524,2.4,4.1,2017-12-31
13793.2,20044.077,249.554,2.84,4.0,2018-03-31
13930.4,20150.476,251.989,2.91,4.0,2018-06-30
14017.8,20276.154,252.439,3.0,3.7,2018-09-30
14051.6,20304.874,251.233,2.83,3.9,2018-12-31
14240.1,20415.15,254.202,2.57,3.8,2019-03-31
14391.2,20584.528,256.143,2.07,3.6,2019-06-30
14555.6,20817.581,256.759,1.7,3.5,2019-09-30
14741.3,20951.088,256.974,1.86,3.6,2019-12-31
13793.0,20665.553,258.115,0.87,4.4,2020-03-31
14027.1,19034.83,257.797,0.73,11.0,2020-06-30
14655.0,20511.785,260.28,0.68,7.9,2020-09-30
14801.8,20724.128,260.474,0.93,6.7,2020-12-31
15657.6,20990.541,264.877,1.61,6.1,2021-03-31
16108.5,21309.544,271.696,1.52,5.9,2021-06-30
16398.9,21483.083,274.31,1.37,4.8,2021-09-30
16799.2,21847.602,278.802,1.47,3.9,2021-12-31
17203.6,21738.871,287.504,2.13,3.6,2022-03-31
17550.0,21708.16,296.311,3.14,3.6,2022-06-30
17804.0,21851.134,296.808,3.52,3.5,2022-09-30
17943.6,21989.981,296.797,3.62,3.5,2022-12-31
18282.6,22112.329,301.836,3.66,3.5,2023-03-31
18485.4,22225.35,305.109,3.75,3.6,2023-06-30
18853.4,22491.567,307.789,4.38,3.8,2023-09-30
